TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,3.75,-3.75,-10,-2,0.25,1,0,0
0,1,3.75,-3,-10,-2,0.25,1,0.06,0
0,2,3.75,-2.25,-10,-2,0.25,1,0.12,0
0,3,3.75,-1.5,-10,-1.5,0.25,1,0.18,0
0,4,3.75,-0.75,-10,-0.75,0.25,1,0.24,0
0,5,3.75,0,-10,0,0.25,1,0.3,0
0,6,3.75,0.75,-10,0.75,0.25,1,0.36,0
0,7,3.75,1.5,-10,1.5,0.25,1,0.42,0
0,8,3.75,2.25,-10,2,0.25,1,0.48,0
0,9,3.75,3,-10,2,0.25,1,0.54,0
0,10,3.75,3.75,-10,2,0.25,1,0.6,0
0,11,4.5,-3.75,-10,-2,0.25,1,0.66,0
0,12,4.5,-3,-10,-2,0.25,1,0.72,0
0,13,4.5,-2.25,-10,-2,0.25,1,0.78,0
0,14,4.5,-1.5,-10,-1.5,0.25,1,0.84,0
0,15,4.5,-0.75,-10,-0.75,0.25,1,0.9,0
0,16,4.5,0,-10,0,0.25,1,0.96,0
0,17,4.5,0.75,-10,0.75,0.25,0.98,1,0
0,18,4.5,1.5,-10,1.5,0.25,0.92,1,0
0,19,4.5,2.25,-10,2,0.25,0.86,1,0
0,20,4.5,3,-10,2,0.25,0.8,1,0
0,21,4.5,3.75,-10,2,0.25,0.74,1,0
0,22,5.25,-3.75,-10,-2,0.25,0.68,1,0
0,23,5.25,-3,-10,-2,0.25,0.62,1,0
0,24,5.25,-2.25,-10,-2,0.25,0.56,1,0
0,25,5.25,-1.5,-10,-1.5,0.25,0.5,1,0
0,26,5.25,-0.75,-10,-0.75,0.25,0.44,1,0
0,27,5.25,0,-10,0,0.25,0.38,1,0
0,28,5.25,0.75,-10,0.75,0.25,0.32,1,0
0,29,5.25,1.5,-10,1.5,0.25,0.26,1,0
0,30,5.25,2.25,-10,2,0.25,0.2,1,0
0,31,5.25,3,-10,2,0.25,0.14,1,0
0,32,5.25,3.75,-10,2,0.25,0.08,1,0
0,33,6,-3.75,-10,-2,0.25,0.02,1,0
0,34,6,-3,-10,-2,0.25,0,1,0.04
0,35,6,-2.25,-10,-2,0.25,0,1,0.1
0,36,6,-1.5,-10,-1.5,0.25,0,1,0.16
0,37,6,-0.75,-10,-0.75,0.25,0,1,0.22
0,38,6,0,-10,0,0.25,0,1,0.28
0,39,6,0.75,-10,0.75,0.25,0,1,0.34
0,40,6,1.5,-10,1.5,0.25,0,1,0.4
0,41,6,2.25,-10,2,0.25,0,1,0.46
0,42,6,3,-10,2,0.25,0,1,0.52
0,43,6,3.75,-10,2,0.25,0,1,0.58
0,44,6.75,-3.75,-10,-2,0.25,0,1,0.64
0,45,6.75,-3,-10,-2,0.25,0,1,0.7
0,46,6.75,-2.25,-10,-2,0.25,0,1,0.76
0,47,6.75,-1.5,-10,-1.5,0.25,0,1,0.82
0,48,6.75,-0.75,-10,-0.75,0.25,0,1,0.88
0,49,6.75,0,-10,0,0.25,0,1,0.94
0,50,6.75,0.75,-10,0.75,0.25,0,1,1
0,51,6.75,1.5,-10,1.5,0.25,0,0.94,1
0,52,6.75,2.25,-10,2,0.25,0,0.88,1
0,53,6.75,3,-10,2,0.25,0,0.82,1
0,54,6.75,3.75,-10,2,0.25,0,0.76,1
0,55,7.5,-3.75,-10,-2,0.25,0,0.7,1
0,56,7.5,-3,-10,-2,0.25,0,0.64,1
0,57,7.5,-2.25,-10,-2,0.25,0,0.58,1
0,58,7.5,-1.5,-10,-1.5,0.25,0,0.52,1
0,59,7.5,-0.75,-10,-0.75,0.25,0,0.46,1
0,60,7.5,0,-10,0,0.25,0,0.4,1
0,61,7.5,0.75,-10,0.75,0.25,0,0.34,1
0,62,7.5,1.5,-10,1.5,0.25,0,0.28,1
0,63,7.5,2.25,-10,2,0.25,0,0.22,1
0,64,7.5,3,-10,2,0.25,0,0.16,1
0,65,7.5,3.75,-10,2,0.25,0,0.1,1
0,66,8.25,-3.75,-10,-2,0.25,0,0.04,1
0,67,8.25,-3,-10,-2,0.25,0.02,0,1
0,68,8.25,-2.25,-10,-2,0.25,0.08,0,1
0,69,8.25,-1.5,-10,-1.5,0.25,0.14,0,1
0,70,8.25,-0.75,-10,-0.75,0.25,0.2,0,1
0,71,8.25,0,-10,0,0.25,0.26,0,1
0,72,8.25,0.75,-10,0.75,0.25,0.32,0,1
0,73,8.25,1.5,-10,1.5,0.25,0.38,0,1
0,74,8.25,2.25,-10,2,0.25,0.44,0,1
0,75,8.25,3,-10,2,0.25,0.5,0,1
0,76,8.25,3.75,-10,2,0.25,0.56,0,1
0,77,9,-3.75,-10,-2,0.25,0.62,0,1
0,78,9,-3,-10,-2,0.25,0.68,0,1
0,79,9,-2.25,-10,-2,0.25,0.74,0,1
0,80,9,-1.5,-10,-1.5,0.25,0.8,0,1
0,81,9,-0.75,-10,-0.75,0.25,0.86,0,1
0,82,9,0,-10,0,0.25,0.92,0,1
0,83,9,0.75,-10,0.75,0.25,0.98,0,1
0,84,9,1.5,-10,1.5,0.25,1,0,0.96
0,85,9,2.25,-10,2,0.25,1,0,0.9
0,86,9,3,-10,2,0.25,1,0,0.84
0,87,9,3.75,-10,2,0.25,1,0,0.78
0,88,9.75,-3.75,-10,-2,0.25,1,0,0.72
0,89,9.75,-3,-10,-2,0.25,1,0,0.66
0,90,9.75,-2.25,-10,-2,0.25,1,0,0.6
0,91,9.75,-1.5,-10,-1.5,0.25,1,0,0.54
0,92,9.75,-0.75,-10,-0.75,0.25,1,0,0.48
0,93,9.75,0,-10,0,0.25,1,0,0.42
0,94,9.75,0.75,-10,0.75,0.25,1,0,0.36
0,95,9.75,1.5,-10,1.5,0.25,1,0,0.3
0,96,9.75,2.25,-10,2,0.25,1,0,0.24
0,97,9.75,3,-10,2,0.25,1,0,0.18
0,98,9.75,3.75,-10,2,0.25,1,0,0.12
0,99,10.5,-3.75,-10,-2,0.25,1,0,0.06
1,0,3.58905,-3.76909,-10,-2,0.25,1,0,0
1,1,3.55694,-3.01587,-10,-2,0.25,1,0.06,0
1,2,3.55022,-2.25541,-10,-2,0.25,1,0.12,0
1,3,3.5501,-1.5,-10,-1.5,0.25,1,0.18,0
1,4,3.55,-0.75,-10,-0.75,0.25,1,0.24,0
1,5,3.5501,9.09575e-14,-10,9.10383e-14,0.25,1,0.3,0
1,6,3.55,0.75,-10,0.75,0.25,1,0.36,0
1,7,3.55,1.5001,-10,1.5001,0.25,1,0.42,0
1,8,3.55063,2.25559,-10,2,0.25,1,0.48,0
1,9,3.60679,3.00559,-10,2,0.25,1,0.54,0
1,10,3.72291,3.74655,-10,2,0.25,1,0.6,0
1,11,4.33924,-3.76392,-10,-2,0.25,1,0.66,0
1,12,4.3591,-3.00993,-10,-2,0.25,1,0.72,0
1,13,4.3079,-2.25681,-10,-2,0.25,1,0.78,0
1,14,4.30039,-1.5,-10,-1.5,0.25,1,0.84,0
1,15,4.30029,-0.75,-10,-0.75,0.25,1,0.9,0
1,16,4.30149,3.12556e-06,-10,3.12556e-06,0.25,1,0.96,0
1,17,4.30217,0.750003,-10,0.750003,0.25,0.98,1,0
1,18,4.3,1.5,-10,1.5,0.25,0.92,1,0
1,19,4.39893,2.25452,-10,2,0.25,0.86,1,0
1,20,4.43588,3.00452,-10,2,0.25,0.8,1,0
1,21,4.47291,3.84975,-10,2,0.25,0.74,1,0
1,22,5.08972,-3.77272,-10,-2,0.25,0.68,1,0
1,23,5.1091,-3.01761,-10,-2,0.25,0.62,1,0
1,24,5.1286,-2.25924,-10,-2,0.25,0.56,1,0
1,25,5.05058,-1.50005,-10,-1.50005,0.25,0.5,1,0
1,26,5.05038,-0.750049,-10,-0.750049,0.25,0.44,1,0
1,27,5.09129,-4.91307e-05,-10,-4.91307e-05,0.25,0.38,1,0
1,28,5.11448,0.749951,-10,0.749951,0.25,0.32,1,0
1,29,5.0501,1.5,-10,1.5,0.25,0.26,1,0
1,30,5.16249,2.25212,-10,2,0.25,0.2,1,0
1,31,5.20757,3.00212,-10,2,0.25,0.14,1,0
1,32,5.22903,3.75474,-10,2,0.25,0.08,1,0
1,33,5.91731,-3.74987,-10,-2,0.25,0.02,1,0
1,34,5.99607,-2.99975,-10,-2,0.25,0,1,0.04
1,35,5.8786,-2.25901,-10,-2,0.25,0,1,0.1
1,36,5.80058,-1.50015,-10,-1.50015,0.25,0,1,0.16
1,37,5.80049,-0.750066,-10,-0.750066,0.25,0,1,0.22
