TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,19.8944,0,-19.8944,0.25,1,0,0
0,1,-1.24918,19.8551,1.24918,-19.8551,0.25,1,0.06,0
0,2,-2.49343,19.7375,2.49343,-19.7375,0.25,1,0.12,0
0,3,-3.72783,19.542,3.72783,-19.542,0.25,1,0.18,0
0,4,-4.94753,19.2693,4.94753,-19.2693,0.25,1,0.24,0
0,5,-6.1477,18.9207,6.1477,-18.9207,0.25,1,0.3,0
0,6,-7.32361,18.4973,7.32361,-18.4973,0.25,1,0.36,0
0,7,-8.47061,18.001,8.47061,-18.001,0.25,1,0.42,0
0,8,-9.58418,17.4336,9.58418,-17.4336,0.25,1,0.48,0
0,9,-10.6599,16.7974,10.6599,-16.7974,0.25,1,0.54,0
0,10,-11.6936,16.0949,11.6936,-16.0949,0.25,1,0.6,0
0,11,-12.6811,15.3289,12.6811,-15.3289,0.25,1,0.66,0
0,12,-13.6186,14.5024,13.6186,-14.5024,0.25,1,0.72,0
0,13,-14.5024,13.6186,14.5024,-13.6186,0.25,1,0.78,0
0,14,-15.3289,12.6811,15.3289,-12.6811,0.25,1,0.84,0
0,15,-16.0949,11.6936,16.0949,-11.6936,0.25,1,0.9,0
0,16,-16.7974,10.6599,16.7974,-10.6599,0.25,1,0.96,0
0,17,-17.4336,9.58418,17.4336,-9.58418,0.25,0.98,1,0
0,18,-18.001,8.47061,18.001,-8.47061,0.25,0.92,1,0
0,19,-18.4973,7.32361,18.4973,-7.32361,0.25,0.86,1,0
0,20,-18.9207,6.1477,18.9207,-6.1477,0.25,0.8,1,0
0,21,-19.2693,4.94753,19.2693,-4.94753,0.25,0.74,1,0
0,22,-19.542,3.72783,19.542,-3.72783,0.25,0.68,1,0
0,23,-19.7375,2.49343,19.7375,-2.49343,0.25,0.62,1,0
0,24,-19.8551,1.24918,19.8551,-1.24918,0.25,0.56,1,0
0,25,-19.8944,-2.05858e-12,19.8944,2.05858e-12,0.25,0.5,1,0
0,26,-19.8551,-1.24918,19.8551,1.24918,0.25,0.44,1,0
0,27,-19.7375,-2.49343,19.7375,2.49343,0.25,0.38,1,0
0,28,-19.542,-3.72783,19.542,3.72783,0.25,0.32,1,0
0,29,-19.2693,-4.94753,19.2693,4.94753,0.25,0.26,1,0
0,30,-18.9207,-6.1477,18.9207,6.1477,0.25,0.2,1,0
0,31,-18.4973,-7.32361,18.4973,7.32361,0.25,0.14,1,0
0,32,-18.001,-8.47061,18.001,8.47061,0.25,0.08,1,0
0,33,-17.4336,-9.58418,17.4336,9.58418,0.25,0.02,1,0
0,34,-16.7974,-10.6599,16.7974,10.6599,0.25,0,1,0.04
0,35,-16.0949,-11.6936,16.0949,11.6936,0.25,0,1,0.1
