TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,19.8544,0,-19.8944,0.25,1,0,0
0,1,-1.246668,19.81518,1.24918,-19.8551,0.25,1,0.06,0
0,2,-2.488417,19.69781,2.49343,-19.7375,0.25,1,0.12,0
0,3,-3.720335,19.50271,3.72783,-19.542,0.25,1,0.18,0
0,4,-4.937582,19.23056,4.94753,-19.2693,0.25,1,0.24,0
0,5,-6.135339,18.88266,6.1477,-18.9207,0.25,1,0.3,0
0,6,-7.308885,18.46011,7.32361,-18.4973,0.25,1,0.36,0
0,7,-8.453579,17.96481,8.47061,-18.001,0.25,1,0.42,0
0,8,-9.56491,17.39855,9.58418,-17.4336,0.25,1,0.48,0
0,9,-10.63847,16.76363,10.6599,-16.7974,0.25,1,0.54,0
0,10,-11.67009,16.06254,11.6936,-16.0949,0.25,1,0.6,0
0,11,-12.6556,15.29808,12.6811,-15.3289,0.25,1,0.66,0
0,12,-13.59122,14.47324,13.6186,-14.5024,0.25,1,0.72,0
0,13,-14.47324,13.59122,14.5024,-13.6186,0.25,1,0.78,0
0,14,-15.29808,12.6556,15.3289,-12.6811,0.25,1,0.84,0
0,15,-16.06254,11.67009,16.0949,-11.6936,0.25,1,0.9,0
0,16,-16.76363,10.63847,16.7974,-10.6599,0.25,1,0.96,0
0,17,-17.39855,9.56491,17.4336,-9.58418,0.25,0.98,1,0
0,18,-17.96481,8.453579,18.001,-8.47061,0.25,0.92,1,0
0,19,-18.46011,7.308885,18.4973,-7.32361,0.25,0.86,1,0
0,20,-18.88266,6.135339,18.9207,-6.1477,0.25,0.8,1,0
0,21,-19.23056,4.937582,19.2693,-4.94753,0.25,0.74,1,0
0,22,-19.50271,3.720335,19.542,-3.72783,0.25,0.6800001,1,0
0,23,-19.69781,2.488417,19.7375,-2.49343,0.25,0.62,1,0
0,24,-19.81518,1.246668,19.8551,-1.24918,0.25,0.5600001,1,0
0,25,-19.8544,-2.054441E-12,19.8944,2.05858E-12,0.25,0.5,1,0
0,26,-19.81518,-1.246668,19.8551,1.24918,0.25,0.4400001,1,0
0,27,-19.69781,-2.488417,19.7375,2.49343,0.25,0.3799999,1,0
0,28,-19.50271,-3.720335,19.542,3.72783,0.25,0.3199999,1,0
0,29,-19.23056,-4.937582,19.2693,4.94753,0.25,0.26,1,0
0,30,-18.88266,-6.135339,18.9207,6.1477,0.25,0.1999999,1,0
0,31,-18.46011,-7.308885,18.4973,7.32361,0.25,0.14,1,0
0,32,-17.96481,-8.453579,18.001,8.47061,0.25,0.08000004,1,0
0,33,-17.39855,-9.56491,17.4336,9.58418,0.25,0.01999998,1,0
0,34,-16.76363,-10.63847,16.7974,10.6599,0.25,0,1,0.03999996
0,35,-16.06254,-11.67009,16.0949,11.6936,0.25,0,1,0.0999999
0,36,-15.29808,-12.6556,15.3289,12.6811,0.25,0,1,0.1600001
0,37,-14.47324,-13.59122,14.5024,13.6186,0.25,0,1,0.22
0,38,-13.59122,-14.47324,13.6186,14.5024,0.25,0,1,0.28
0,39,-12.6556,-15.29808,12.6811,15.3289,0.25,0,1,0.3399999
0,40,-11.67009,-16.06254,11.6936,16.0949,0.25,0,1,0.4000001
0,41,-10.63847,-16.76363,10.6599,16.7974,0.25,0,1,0.46
0,42,-9.56491,-17.39855,9.58418,17.4336,0.25,0,1,0.52
0,43,-8.453579,-17.96481,8.47061,18.001,0.25,0,1,0.5799999
0,44,-7.308885,-18.46011,7.32361,18.4973,0.25,0,1,0.6399999
