TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,10,0,-10,0.25,1,0,0
0,1,-3.09017,9.51057,3.09017,-9.51057,0.25,1,0.3,0
0,2,-5.87785,8.09017,5.87785,-8.09017,0.25,1,0.6,0
0,3,-8.09017,5.87785,8.09017,-5.87785,0.25,1,0.9,0
0,4,-9.51057,3.09017,9.51057,-3.09017,0.25,0.8,1,0
0,5,-10,-1.03428e-12,10,1.03428e-12,0.25,0.5,1,0
0,6,-9.51057,-3.09017,9.51057,3.09017,0.25,0.2,1,0
0,7,-8.09017,-5.87785,8.09017,5.87785,0.25,0,1,0.1
0,8,-5.87785,-8.09017,5.87785,8.09017,0.25,0,1,0.4
0,9,-3.09017,-9.51057,3.09017,9.51057,0.25,0,1,0.7
0,10,2.06857e-12,-10,-2.06857e-12,10,0.25,0,1,1
0,11,3.09017,-9.51057,-3.09017,9.51057,0.25,0,0.7,1
0,12,5.87785,-8.09017,-5.87785,8.09017,0.25,0,0.4,1
0,13,8.09017,-5.87785,-8.09017,5.87785,0.25,0,0.1,1
0,14,9.51057,-3.09017,-9.51057,3.09017,0.25,0.2,0,1
0,15,10,3.10196e-12,-10,-3.10196e-12,0.25,0.5,0,1
0,16,9.51057,3.09017,-9.51057,-3.09017,0.25,0.8,0,1
0,17,8.09017,5.87785,-8.09017,-5.87785,0.25,1,0,0.9
0,18,5.87785,8.09017,-5.87785,-8.09017,0.25,1,0,0.6
0,19,3.09017,9.51057,-3.09017,-9.51057,0.25,1,0,0.3
1,0,3.46226e-05,9.84633,0,-10,0.25,1,0,0
1,1,-3.07154,9.45325,3.09017,-9.51057,0.25,1,0.3,0
1,2,-5.82314,8.01388,5.87785,-8.09017,0.25,1,0.6,0
1,3,-7.98313,5.79998,8.09017,-5.87785,0.25,1,0.9,0
1,4,-9.35275,3.0392,9.51057,-3.09017,0.25,0.8,1,0
1,5,-9.8,-2.86111e-05,10,1.03428e-12,0.25,0.5,1,0
1,6,-9.35433,-3.03926,9.51057,3.09017,0.25,0.2,1,0
1,7,-7.96116,-5.78412,8.09017,5.87785,0.25,0,1,0.1
1,8,-5.7609,-7.92892,5.87785,8.09017,0.25,0,1,0.4
1,9,-3.04869,-9.36156,3.09017,9.51057,0.25,0,1,0.7
1,10,-0.0130368,-9.83492,-2.06857e-12,10,0.25,0,1,1
1,11,3.02837,-9.32035,-3.09017,9.51057,0.25,0,0.7,1
1,12,5.75204,-7.93481,-5.87785,8.09017,0.25,0,0.4,1
1,13,7.92051,-5.77194,-8.09017,5.87785,0.25,0,0.1,1
1,14,9.39494,-3.0523,-9.51057,3.09017,0.25,0.2,0,1
1,15,9.91041,-0.000885778,-10,-3.10196e-12,0.25,0.5,0,1
1,16,9.40016,3.05466,-9.51057,-3.09017,0.25,0.8,0,1
1,17,7.97047,5.79091,-8.09017,-5.87785,0.25,1,0,0.9
1,18,5.80271,7.98731,-5.87785,-8.09017,0.25,1,0,0.6
1,19,3.05634,9.31655,-3.09017,-9.51057,0.25,1,0,0.3
2,0,0.0363664,9.73535,0,-10,0.25,1,0,0
2,1,-3.04859,9.38264,3.09017,-9.51057,0.25,1,0.3,0
2,2,-5.80742,7.99201,5.87785,-8.09017,0.25,1,0.6,0
2,3,-7.84767,5.76825,8.09017,-5.87785,0.25,1,0.9,0
2,4,-9.34678,3.03727,9.51057,-3.09017,0.25,0.8,1,0
2,5,-9.78501,-3.43476e-05,10,1.03428e-12,0.25,0.5,1,0
2,6,-9.29947,-3.02139,9.51057,3.09017,0.25,0.2,1,0
2,7,-7.91111,-5.74792,8.09017,5.87785,0.25,0,1,0.1
2,8,-5.6901,-7.8313,5.87785,8.09017,0.25,0,1,0.4
2,9,-3.01484,-9.24194,3.09017,9.51057,0.25,0,1,0.7
2,10,-0.0195547,-9.73957,-2.06857e-12,10,0.25,0,1,1
2,11,2.96656,-9.13014,-3.09017,9.51057,0.25,0,0.7,1
2,12,5.64889,-7.80606,-5.87785,8.09017,0.25,0,0.4,1
2,13,7.75165,-5.66486,-8.09017,5.87785,0.25,0,0.1,1
2,14,9.27508,-3.00367,-9.51057,3.09017,0.25,0.2,0,1
2,15,9.81001,-0.00772231,-10,-3.10196e-12,0.25,0.5,0,1
2,16,9.28177,3.01651,-9.51057,-3.09017,0.25,0.8,0,1
2,17,7.84635,5.7012,-8.09017,-5.87785,0.25,1,0,0.9
2,18,5.72333,7.87856,-5.87785,-8.09017,0.25,1,0,0.6
2,19,3.01969,9.12292,-3.09017,-9.51057,0.25,1,0,0.3
3,0,0.0690281,9.61546,0,-10,0.25,1,0,0
3,1,-3.02175,9.30008,3.09017,-9.51057,0.25,1,0.3,0
3,2,-5.78151,7.95614,5.87785,-8.09017,0.25,1,0.6,0
3,3,-7.7096,5.7279,8.09017,-5.87785,0.25,1,0.9,0
3,4,-9.32239,3.02935,9.51057,-3.09017,0.25,0.8,1,0
3,5,-9.75152,-3.94757e-05,10,1.03428e-12,0.25,0.5,1,0
3,6,-9.24024,-2.98895,9.51057,3.09017,0.25,0.2,1,0
3,7,-7.9094,-5.74668,8.09017,5.87785,0.25,0,1,0.1
3,8,-5.68168,-7.8197,5.87785,8.09017,0.25,0,1,0.4
3,9,-3.00359,-9.20309,3.09017,9.51057,0.25,0,1,0.7
3,10,-0.0219971,-9.69535,-2.06857e-12,10,0.25,0,1,1
3,11,2.90475,-8.93993,-3.09017,9.51057,0.25,0,0.7,1
3,12,5.54431,-7.674,-5.87785,8.09017,0.25,0,0.4,1
3,13,7.61183,-5.57492,-8.09017,5.87785,0.25,0,0.1,1
3,14,9.1482,-2.95372,-9.51057,3.09017,0.25,0.2,0,1
3,15,9.77777,-0.00926939,-10,-3.10196e-12,0.25,0.5,0,1
3,16,9.18478,2.98523,-9.51057,-3.09017,0.25,0.8,0,1
