TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,10,0,-10,0.25,1,0,0
0,1,-3.09017,9.51057,3.09017,-9.51057,0.25,1,0.3,0
0,2,-5.87785,8.09017,5.87785,-8.09017,0.25,1,0.6,0
0,3,-8.09017,5.87785,8.09017,-5.87785,0.25,1,0.9,0
0,4,-9.51057,3.09017,9.51057,-3.09017,0.25,0.8,1,0
0,5,-10,-1.03428e-12,10,1.03428e-12,0.25,0.5,1,0
0,6,-9.51057,-3.09017,9.51057,3.09017,0.25,0.2,1,0
0,7,-8.09017,-5.87785,8.09017,5.87785,0.25,0,1,0.1
0,8,-5.87785,-8.09017,5.87785,8.09017,0.25,0,1,0.4
0,9,-3.09017,-9.51057,3.09017,9.51057,0.25,0,1,0.7
0,10,2.06857e-12,-10,-2.06857e-12,10,0.25,0,1,1
0,11,3.09017,-9.51057,-3.09017,9.51057,0.25,0,0.7,1
0,12,5.87785,-8.09017,-5.87785,8.09017,0.25,0,0.4,1
0,13,8.09017,-5.87785,-8.09017,5.87785,0.25,0,0.1,1
0,14,9.51057,-3.09017,-9.51057,3.09017,0.25,0.2,0,1
0,15,10,3.10196e-12,-10,-3.10196e-12,0.25,0.5,0,1
0,16,9.51057,3.09017,-9.51057,-3.09017,0.25,0.8,0,1
0,17,8.09017,5.87785,-8.09017,-5.87785,0.25,1,0,0.9
0,18,5.87785,8.09017,-5.87785,-8.09017,0.25,1,0,0.6
0,19,3.09017,9.51057,-3.09017,-9.51057,0.25,1,0,0.3
1,0,5.03595e-19,9.8,0,-10,0.25,1,0,0
1,1,-3.07039,9.44968,3.09017,-9.51057,0.25,1,0.3,0
1,2,-5.855,8.05871,5.87785,-8.09017,0.25,1,0.6,0
1,3,-7.9912,5.80626,8.09017,-5.87785,0.25,1,0.9,0
1,4,-9.42192,3.0612,9.51057,-3.09017,0.25,0.8,1,0
1,5,-9.84609,-1.01836e-12,10,1.03428e-12,0.25,0.5,1,0
1,6,-9.50742,-3.08915,9.51057,3.09017,0.25,0.2,1,0
1,7,-8.02563,-5.83097,8.09017,5.87785,0.25,0,1,0.1
1,8,-5.86712,-8.0754,5.87785,8.09017,0.25,0,1,0.4
1,9,-3.00547,-9.34645,3.09017,9.51057,0.25,0,1,0.7
1,10,-0.0530238,-9.8647,-2.06857e-12,10,0.25,0,1,1
1,11,3.06371,-9.31232,-3.09017,9.51057,0.25,0,0.7,1
1,12,5.75809,-7.99559,-5.87785,8.09017,0.25,0,0.4,1
1,13,8.0016,-5.84582,-8.09017,5.87785,0.25,0,0.1,1
1,14,9.44691,-3.03249,-9.51057,3.09017,0.25,0.2,0,1
1,15,9.80637,0.0461623,-10,-3.10196e-12,0.25,0.5,0,1
1,16,9.46793,3.09166,-9.51057,-3.09017,0.25,0.8,0,1
1,17,8.0237,5.77961,-8.09017,-5.87785,0.25,1,0,0.9
1,18,5.84882,7.97198,-5.87785,-8.09017,0.25,1,0,0.6
1,19,3.09933,9.32699,-3.09017,-9.51057,0.25,1,0,0.3
2,0,9.56322e-19,9.6,0,-10,0.25,1,0,0
2,1,-3.0464,9.37586,3.09017,-9.51057,0.25,1,0.3,0
2,2,-5.82267,8.01422,5.87785,-8.09017,0.25,1,0.6,0
2,3,-7.88595,5.73008,8.09017,-5.87785,0.25,1,0.9,0
2,4,-9.32311,3.02894,9.51057,-3.09017,0.25,0.8,1,0
2,5,-9.68757,-1.00197e-12,10,1.03428e-12,0.25,0.5,1,0
2,6,-9.48557,-3.08205,9.51057,3.09017,0.25,0.2,1,0
2,7,-7.95137,-5.77701,8.09017,5.87785,0.25,0,1,0.1
2,8,-5.8457,-8.04592,5.87785,8.09017,0.25,0,1,0.4
2,9,-2.92309,-9.17971,3.09017,9.51057,0.25,0,1,0.7
2,10,-0.100692,-9.72293,-2.06857e-12,10,0.25,0,1,1
2,11,3.03368,-9.1149,-3.09017,9.51057,0.25,0,0.7,1
2,12,5.63858,-7.89426,-5.87785,8.09017,0.25,0,0.4,1
2,13,7.90571,-5.80522,-8.09017,5.87785,0.25,0,0.1,1
2,14,9.37059,-2.97443,-9.51057,3.09017,0.25,0.2,0,1
2,15,9.6121,0.0876618,-10,-3.10196e-12,0.25,0.5,0,1
2,16,9.41054,3.08681,-9.51057,-3.09017,0.25,0.8,0,1
2,17,7.94767,5.67948,-8.09017,-5.87785,0.25,1,0,0.9
2,18,5.81091,7.84946,-5.87785,-8.09017,0.25,1,0,0.6
2,19,3.10133,9.14277,-3.09017,-9.51057,0.25,1,0,0.3
3,0,1.3628e-18,9.4,0,-10,0.25,1,0,0
3,1,-3.01863,9.2904,3.09017,-9.51057,0.25,1,0.3,0
3,2,-5.78182,7.958,5.87785,-8.09017,0.25,1,0.6,0
3,3,-7.77504,5.64975,8.09017,-5.87785,0.25,1,0.9,0
3,4,-9.21517,2.99373,9.51057,-3.09017,0.25,0.8,1,0
3,5,-9.5249,-9.85144e-13,10,1.03428e-12,0.25,0.5,1,0
3,6,-9.44688,-3.06948,9.51057,3.09017,0.25,0.2,1,0
3,7,-7.86835,-5.7167,8.09017,5.87785,0.25,0,1,0.1
3,8,-5.81467,-8.00321,5.87785,8.09017,0.25,0,1,0.4
3,9,-2.84282,-9.01061,3.09017,9.51057,0.25,0,1,0.7
3,10,-0.143491,-9.57534,-2.06857e-12,10,0.25,0,1,1
3,11,3.0004,-8.91821,-3.09017,9.51057,0.25,0,0.7,1
3,12,5.51933,-7.78684,-5.87785,8.09017,0.25,0,0.4,1
3,13,7.80327,-5.75687,-8.09017,5.87785,0.25,0,0.1,1
3,14,9.28285,-2.91606,-9.51057,3.09017,0.25,0.2,0,1
3,15,9.41725,0.124922,-10,-3.10196e-12,0.25,0.5,0,1
3,16,9.33988,3.07623,-9.51057,-3.09017,0.25,0.8,0,1
