TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,0,10,0,-10,0.25,1,0,0
0,1,-3.09017,9.51057,3.09017,-9.51057,0.25,1,0.3,0
0,2,-5.87785,8.09017,5.87785,-8.09017,0.25,1,0.6,0
0,3,-8.09017,5.87785,8.09017,-5.87785,0.25,1,0.9,0
0,4,-9.51057,3.09017,9.51057,-3.09017,0.25,0.8,1,0
0,5,-10,-1.03428e-12,10,1.03428e-12,0.25,0.5,1,0
0,6,-9.51057,-3.09017,9.51057,3.09017,0.25,0.2,1,0
0,7,-8.09017,-5.87785,8.09017,5.87785,0.25,0,1,0.1
0,8,-5.87785,-8.09017,5.87785,8.09017,0.25,0,1,0.4
0,9,-3.09017,-9.51057,3.09017,9.51057,0.25,0,1,0.7
0,10,2.06857e-12,-10,-2.06857e-12,10,0.25,0,1,1
0,11,3.09017,-9.51057,-3.09017,9.51057,0.25,0,0.7,1
0,12,5.87785,-8.09017,-5.87785,8.09017,0.25,0,0.4,1
0,13,8.09017,-5.87785,-8.09017,5.87785,0.25,0,0.1,1
0,14,9.51057,-3.09017,-9.51057,3.09017,0.25,0.2,0,1
0,15,10,3.10196e-12,-10,-3.10196e-12,0.25,0.5,0,1
0,16,9.51057,3.09017,-9.51057,-3.09017,0.25,0.8,0,1
0,17,8.09017,5.87785,-8.09017,-5.87785,0.25,1,0,0.9
0,18,5.87785,8.09017,-5.87785,-8.09017,0.25,1,0,0.6
0,19,3.09017,9.51057,-3.09017,-9.51057,0.25,1,0,0.3
1,0,-6.53637e-16,9.8,0,-10,0.25,1,0,0
1,1,-3.07043,9.4498,3.09017,-9.51057,0.25,1,0.3,0
1,2,-5.85507,8.05881,5.87785,-8.09017,0.25,1,0.6,0
1,3,-7.99131,5.80603,8.09017,-5.87785,0.25,1,0.9,0
1,4,-9.42191,3.06136,9.51057,-3.09017,0.25,0.8,1,0
1,5,-9.84609,-1.01818e-12,10,1.03428e-12,0.25,0.5,1,0
1,6,-9.40892,-3.05714,9.51057,3.09017,0.25,0.2,1,0
1,7,-8.07121,-5.86407,8.09017,5.87785,0.25,0,1,0.1
1,8,-5.87196,-8.08206,5.87785,8.09017,0.25,0,1,0.4
1,9,-3.09001,-9.51006,3.09017,9.51057,0.25,0,1,0.7
1,10,0.0264601,-9.8268,-2.06857e-12,10,0.25,0,1,1
1,11,3.06067,-9.31275,-3.09017,9.51057,0.25,0,0.7,1
1,12,5.73466,-8.01344,-5.87785,8.09017,0.25,0,0.4,1
1,13,7.93666,-5.83845,-8.09017,5.87785,0.25,0,0.1,1
1,14,9.43817,-3.02188,-9.51057,3.09017,0.25,0.2,0,1
1,15,9.8057,0.0474207,-10,-3.10196e-12,0.25,0.5,0,1
1,16,9.38513,3.01511,-9.51057,-3.09017,0.25,0.8,0,1
1,17,8.05733,5.86621,-8.09017,-5.87785,0.25,1,0,0.9
1,18,5.84128,7.96101,-5.87785,-8.09017,0.25,1,0,0.6
1,19,3.09307,9.33238,-3.09017,-9.51057,0.25,1,0,0.3
2,0,-1.24125e-15,9.6,0,-10,0.25,1,0,0
2,1,-3.04648,9.37609,3.09017,-9.51057,0.25,1,0.3,0
2,2,-5.82281,8.01441,5.87785,-8.09017,0.25,1,0.6,0
2,3,-7.88615,5.72962,8.09017,-5.87785,0.25,1,0.9,0
2,4,-9.3231,3.02926,9.51057,-3.09017,0.25,0.8,1,0
2,5,-9.68757,-1.00161e-12,10,1.03428e-12,0.25,0.5,1,0
2,6,-9.29843,-3.02124,9.51057,3.09017,0.25,0.2,1,0
2,7,-8.03796,-5.83992,8.09017,5.87785,0.25,0,1,0.1
2,8,-5.8549,-8.05857,5.87785,8.09017,0.25,0,1,0.4
2,9,-3.08368,-9.49059,3.09017,9.51057,0.25,0,1,0.7
2,10,0.0502474,-9.65092,-2.06857e-12,10,0.25,0,1,1
2,11,3.02791,-9.11571,-3.09017,9.51057,0.25,0,0.7,1
2,12,5.5941,-7.92816,-5.87785,8.09017,0.25,0,0.4,1
2,13,7.78236,-5.79118,-8.09017,5.87785,0.25,0,0.1,1
2,14,9.35399,-2.95428,-9.51057,3.09017,0.25,0.2,0,1
2,15,9.61084,0.0900514,-10,-3.10196e-12,0.25,0.5,0,1
2,16,9.25321,2.9414,-9.51057,-3.09017,0.25,0.8,0,1
2,17,8.01161,5.84396,-8.09017,-5.87785,0.25,1,0,0.9
2,18,5.79657,7.82861,-5.87785,-8.09017,0.25,1,0,0.6
2,19,3.08944,9.15301,-3.09017,-9.51057,0.25,1,0,0.3
3,0,-1.76884e-15,9.4,0,-10,0.25,1,0,0
3,1,-3.01874,9.29073,3.09017,-9.51057,0.25,1,0.3,0
3,2,-5.78202,7.95827,5.87785,-8.09017,0.25,1,0.6,0
3,3,-7.77533,5.64911,8.09017,-5.87785,0.25,1,0.9,0
3,4,-9.21515,2.99419,9.51057,-3.09017,0.25,0.8,1,0
3,5,-9.5249,-9.84634e-13,10,1.03428e-12,0.25,0.5,1,0
3,6,-9.17996,-2.98275,9.51057,3.09017,0.25,0.2,1,0
3,7,-7.99185,-5.80642,8.09017,5.87785,0.25,0,1,0.1
3,8,-5.82778,-8.02126,5.87785,8.09017,0.25,0,1,0.4
3,9,-3.0718,-9.45404,3.09017,9.51057,0.25,0,1,0.7
3,10,0.0716049,-9.47262,-2.06857e-12,10,0.25,0,1,1
3,11,2.99219,-8.91937,-3.09017,9.51057,0.25,0,0.7,1
3,12,5.45594,-7.83515,-5.87785,8.09017,0.25,0,0.4,1
3,13,7.62737,-5.73679,-8.09017,5.87785,0.25,0,0.1,1
3,14,9.25917,-2.88734,-9.51057,3.09017,0.25,0.2,0,1
3,15,9.41546,0.128327,-10,-3.10196e-12,0.25,0.5,0,1
3,16,9.11545,2.86894,-9.51057,-3.09017,0.25,0.8,0,1
