TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,-5,-1,10,-1,0.25,1,0,0
0,1,-5,-0.25,10,-0.25,0.25,1,0.125,0
0,2,-5,0.5,10,0.5,0.25,1,0.25,0
0,3,-6,-1,10,-1,0.25,1,0.375,0
0,4,-6,-0.25,10,-0.25,0.25,1,0.5,0
0,5,-6,0.5,10,0.5,0.25,1,0.625,0
0,6,-7,-1,10,-1,0.25,1,0.75,0
0,7,-7,-0.25,10,-0.25,0.25,1,0.875,0
0,8,-7,0.5,10,0.5,0.25,1,1,0
0,9,-8,-1,10,-1,0.25,0.875,1,0
0,10,-8,-0.25,10,-0.25,0.25,0.75,1,0
0,11,-8,0.5,10,0.5,0.25,0.625,1,0
0,12,-9,-1,10,-1,0.25,0.5,1,0
0,13,-9,-0.25,10,-0.25,0.25,0.375,1,0
0,14,-9,0.5,10,0.5,0.25,0.25,1,0
0,15,-10,-1,10,-1,0.25,0.125,1,0
0,16,-10,-0.25,10,-0.25,0.25,0,1,0
0,17,-10,0.5,10,0.5,0.25,0,1,0.125
0,18,-11,-1,10,-1,0.25,0,1,0.25
0,19,-11,-0.25,10,-0.25,0.25,0,1,0.375
0,20,-11,0.5,10,0.5,0.25,0,1,0.5
0,21,-12,-1,10,-1,0.25,0,1,0.625
0,22,-12,-0.25,10,-0.25,0.25,0,1,0.75
0,23,-12,0.5,10,0.5,0.25,0,1,0.875
0,24,-1,-5,-1,10,0.25,0,1,1
0,25,-0.25,-5,-0.25,10,0.25,0,0.875,1
0,26,0.5,-5,0.5,10,0.25,0,0.75,1
0,27,-1,-6,-1,10,0.25,0,0.625,1
0,28,-0.25,-6,-0.25,10,0.25,0,0.5,1
0,29,0.5,-6,0.5,10,0.25,0,0.375,1
0,30,-1,-7,-1,10,0.25,0,0.25,1
0,31,-0.25,-7,-0.25,10,0.25,0,0.125,1
0,32,0.5,-7,0.5,10,0.25,0,0,1
0,33,-1,-8,-1,10,0.25,0.125,0,1
0,34,-0.25,-8,-0.25,10,0.25,0.25,0,1
0,35,0.5,-8,0.5,10,0.25,0.375,0,1
0,36,-1,-9,-1,10,0.25,0.5,0,1
0,37,-0.25,-9,-0.25,10,0.25,0.625,0,1
0,38,0.5,-9,0.5,10,0.25,0.75,0,1
0,39,-1,-10,-1,10,0.25,0.875,0,1
0,40,-0.25,-10,-0.25,10,0.25,1,0,1
0,41,0.5,-10,0.5,10,0.25,1,0,0.875
0,42,-1,-11,-1,10,0.25,1,0,0.75
0,43,-0.25,-11,-0.25,10,0.25,1,0,0.625
0,44,0.5,-11,0.5,10,0.25,1,0,0.5
0,45,-1,-12,-1,10,0.25,1,0,0.375
0,46,-0.25,-12,-0.25,10,0.25,1,0,0.25
0,47,0.5,-12,0.5,10,0.25,1,0,0.125
1,0,-4.8,-1,10,-1,0.25,1,0,0
1,1,-4.8001,-0.249999,10,-0.249999,0.25,1,0.125,0
1,2,-4.80165,0.525635,10,0.525635,0.25,1,0.25,0
1,3,-5.8,-1,10,-1,0.25,1,0.375,0
1,4,-5.80011,-0.249998,10,-0.249998,0.25,1,0.5,0
1,5,-5.8068,0.551717,10,0.551717,0.25,1,0.625,0
1,6,-6.8,-1,10,-1,0.25,1,0.75,0
1,7,-6.80011,-0.25,10,-0.25,0.25,1,0.875,0
1,8,-6.99956,0.500002,10,0.500002,0.25,1,1,0
1,9,-7.80011,-1,10,-1,0.25,0.875,1,0
1,10,-7.8,-0.25,10,-0.25,0.25,0.75,1,0
1,11,-7.99454,0.500002,10,0.500002,0.25,0.625,1,0
1,12,-8.80011,-1,10,-1,0.25,0.5,1,0
1,13,-8.8,-0.249999,10,-0.249999,0.25,0.375,1,0
1,14,-8.97658,0.500002,10,0.500002,0.25,0.25,1,0
1,15,-9.8,-1,10,-1,0.25,0.125,1,0
1,16,-9.8001,-0.249998,10,-0.249998,0.25,0,1,0
1,17,-9.9414,0.5,10,0.5,0.25,0,1,0.125
1,18,-10.8001,-1,10,-1,0.25,0,1,0.25
1,19,-10.8,-0.25,10,-0.25,0.25,0,1,0.375
1,20,-10.9081,0.5,10,0.5,0.25,0,1,0.5
1,21,-11.8001,-1,10,-1,0.25,0,1,0.625
1,22,-11.8,-0.250001,10,-0.250001,0.25,0,1,0.75
1,23,-11.8847,0.5,10,0.5,0.25,0,1,0.875
1,24,-1,-4.8,-1,10,0.25,0,1,1
1,25,-0.249999,-4.8001,-0.249999,10,0.25,0,0.875,1
1,26,0.5,-4.8,0.5,10,0.25,0,0.75,1
1,27,-0.999999,-5.80012,-0.999999,10,0.25,0,0.625,1
1,28,-0.249999,-5.8,-0.249999,10,0.25,0,0.5,1
1,29,0.5,-5.8,0.5,10,0.25,0,0.375,1
1,30,-1,-6.80011,-1,10,0.25,0,0.25,1
1,31,-0.249998,-6.8,-0.249998,10,0.25,0,0.125,1
1,32,0.5,-6.8,0.5,10,0.25,0,0,1
1,33,-1,-7.8001,-1,10,0.25,0.125,0,1
1,34,-0.249997,-7.8,-0.249997,10,0.25,0.25,0,1
1,35,0.5,-7.8,0.5,10,0.25,0.375,0,1
1,36,-1,-8.8001,-1,10,0.25,0.5,0,1
1,37,-0.250001,-8.8,-0.250001,10,0.25,0.625,0,1
1,38,0.5,-8.8,0.5,10,0.25,0.75,0,1
