TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,-5,-1,10,-1,0.25,1,0,0
0,1,-5,-0.25,10,-0.25,0.25,1,0.12,0
0,2,-5,0.5,10,0.5,0.25,1,0.24,0
0,3,-6,-1,10,-1,0.25,1,0.36,0
0,4,-6,-0.25,10,-0.25,0.25,1,0.48,0
0,5,-6,0.5,10,0.5,0.25,1,0.6,0
0,6,-7,-1,10,-1,0.25,1,0.72,0
0,7,-7,-0.25,10,-0.25,0.25,1,0.84,0
0,8,-7,0.5,10,0.5,0.25,1,0.96,0
0,9,-8,-1,10,-1,0.25,0.92,1,0
0,10,-8,-0.25,10,-0.25,0.25,0.8,1,0
0,11,-8,0.5,10,0.5,0.25,0.68,1,0
0,12,-9,-1,10,-1,0.25,0.56,1,0
0,13,-9,-0.25,10,-0.25,0.25,0.44,1,0
0,14,-9,0.5,10,0.5,0.25,0.32,1,0
0,15,-10,-1,10,-1,0.25,0.2,1,0
0,16,-10,-0.25,10,-0.25,0.25,0.08,1,0
0,17,-10,0.5,10,0.5,0.25,0,1,0.04
0,18,-11,-1,10,-1,0.25,0,1,0.16
0,19,-11,-0.25,10,-0.25,0.25,0,1,0.28
0,20,-11,0.5,10,0.5,0.25,0,1,0.4
0,21,-12,-1,10,-1,0.25,0,1,0.52
0,22,-12,-0.25,10,-0.25,0.25,0,1,0.64
0,23,-12,0.5,10,0.5,0.25,0,1,0.76
0,24,-13,-1,10,-1,0.25,0,1,0.88
0,25,-1,-5,-1,10,0.25,0,1,1
0,26,-0.25,-5,-0.25,10,0.25,0,0.88,1
0,27,0.5,-5,0.5,10,0.25,0,0.76,1
0,28,-1,-6,-1,10,0.25,0,0.64,1
0,29,-0.25,-6,-0.25,10,0.25,0,0.52,1
0,30,0.5,-6,0.5,10,0.25,0,0.4,1
0,31,-1,-7,-1,10,0.25,0,0.28,1
0,32,-0.25,-7,-0.25,10,0.25,0,0.16,1
0,33,0.5,-7,0.5,10,0.25,0,0.04,1
0,34,-1,-8,-1,10,0.25,0.08,0,1
0,35,-0.25,-8,-0.25,10,0.25,0.2,0,1
0,36,0.5,-8,0.5,10,0.25,0.32,0,1
0,37,-1,-9,-1,10,0.25,0.44,0,1
0,38,-0.25,-9,-0.25,10,0.25,0.56,0,1
0,39,0.5,-9,0.5,10,0.25,0.68,0,1
0,40,-1,-10,-1,10,0.25,0.8,0,1
0,41,-0.25,-10,-0.25,10,0.25,0.92,0,1
0,42,0.5,-10,0.5,10,0.25,1,0,0.96
0,43,-1,-11,-1,10,0.25,1,0,0.84
0,44,-0.25,-11,-0.25,10,0.25,1,0,0.72
0,45,0.5,-11,0.5,10,0.25,1,0,0.6
0,46,-1,-12,-1,10,0.25,1,0,0.48
0,47,-0.25,-12,-0.25,10,0.25,1,0,0.36
0,48,0.5,-12,0.5,10,0.25,1,0,0.24
0,49,-1,-13,-1,10,0.25,1,0,0.12
1,0,-4.8001,-1,10,-1,0.25,1,0,0
1,1,-4.8,-0.25,10,-0.25,0.25,1,0.12,0
1,2,-4.88645,0.5,10,0.5,0.25,1,0.24,0
1,3,-5.8001,-1,10,-1,0.25,1,0.36,0
1,4,-5.8,-0.25,10,-0.25,0.25,1,0.48,0
1,5,-5.88635,0.5,10,0.5,0.25,1,0.6,0
1,6,-6.8001,-1,10,-1,0.25,1,0.72,0
1,7,-6.8,-0.25,10,-0.25,0.25,1,0.84,0
1,8,-6.88635,0.5,10,0.5,0.25,1,0.96,0
1,9,-7.8001,-1,10,-1,0.25,0.92,1,0
1,10,-7.8,-0.25,10,-0.25,0.25,0.8,1,0
