TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,-3.75,-7.5,-3.75,10,0.25,1,0,0
0,1,-3,-7.5,-3,10,0.25,1,0.06,0
0,2,-2.25,-7.5,-2.25,10,0.25,1,0.12,0
0,3,-1.5,-7.5,-1.5,10,0.25,1,0.18,0
0,4,-0.75,-7.5,-0.75,10,0.25,1,0.24,0
0,5,0,-7.5,0,10,0.25,1,0.3,0
0,6,0.75,-7.5,0.75,10,0.25,1,0.36,0
0,7,1.5,-7.5,1.5,10,0.25,1,0.42,0
0,8,2.25,-7.5,2.25,10,0.25,1,0.48,0
0,9,3,-7.5,3,10,0.25,1,0.54,0
0,10,3.75,-7.5,3.75,10,0.25,1,0.6,0
0,11,-3.75,-8.25,-3.75,10,0.25,1,0.66,0
0,12,-3,-8.25,-3,10,0.25,1,0.72,0
0,13,-2.25,-8.25,-2.25,10,0.25,1,0.78,0
0,14,-1.5,-8.25,-1.5,10,0.25,1,0.84,0
0,15,-0.75,-8.25,-0.75,10,0.25,1,0.9,0
0,16,0,-8.25,0,10,0.25,1,0.96,0
0,17,0.75,-8.25,0.75,10,0.25,0.98,1,0
0,18,1.5,-8.25,1.5,10,0.25,0.92,1,0
0,19,2.25,-8.25,2.25,10,0.25,0.86,1,0
0,20,3,-8.25,3,10,0.25,0.8,1,0
0,21,3.75,-8.25,3.75,10,0.25,0.74,1,0
0,22,-3.75,-9,-3.75,10,0.25,0.68,1,0
0,23,-3,-9,-3,10,0.25,0.62,1,0
0,24,-2.25,-9,-2.25,10,0.25,0.56,1,0
0,25,-1.5,-9,-1.5,10,0.25,0.5,1,0
0,26,-0.75,-9,-0.75,10,0.25,0.44,1,0
0,27,0,-9,0,10,0.25,0.38,1,0
0,28,0.75,-9,0.75,10,0.25,0.32,1,0
0,29,1.5,-9,1.5,10,0.25,0.26,1,0
0,30,2.25,-9,2.25,10,0.25,0.2,1,0
0,31,3,-9,3,10,0.25,0.14,1,0
0,32,3.75,-9,3.75,10,0.25,0.08,1,0
0,33,-3.75,-9.75,-3.75,10,0.25,0.02,1,0
0,34,-3,-9.75,-3,10,0.25,0,1,0.04
0,35,-2.25,-9.75,-2.25,10,0.25,0,1,0.1
0,36,-1.5,-9.75,-1.5,10,0.25,0,1,0.16
0,37,-0.75,-9.75,-0.75,10,0.25,0,1,0.22
