TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,5,0,-5,0,0.25,1,0,0
0,1,-5,0,5,0,0.25,0,0.004,1
1,0,4.80255,-0.0318581,-5,-0.0318581,0.25,1,0,0
1,1,-4.80236,0.0306216,5,0.0306216,0.25,0,0.004,1
2,0,4.60485,-0.0605305,-5,-0.0605305,0.25,1,0,0
2,1,-4.60448,0.0581811,5,0.0581811,0.25,0,0.004,1
3,0,4.40692,-0.0863355,-5,-0.0863355,0.25,1,0,0
3,1,-4.40639,0.0829846,5,0.0829846,0.25,0,0.004,1
4,0,4.20878,-0.10956,-5,-0.1,0.25,1,0,0
4,1,-4.20811,0.105308,5,0.1,0.25,0,0.004,1
5,0,4.01046,-0.130441,-5,-0.1,0.25,1,0,0
5,1,-4.00966,0.125387,5,0.1,0.25,0,0.004,1
6,0,3.81197,-0.149167,-5,-0.1,0.25,1,0,0
6,1,-3.81105,0.143402,5,0.1,0.25,0,0.004,1
7,0,3.61332,-0.165909,-5,-0.1,0.25,1,0,0
7,1,-3.6123,0.159517,5,0.1,0.25,0,0.004,1
8,0,3.41455,-0.180823,-5,-0.1,0.25,1,0,0
8,1,-3.41343,0.173882,5,0.1,0.25,0,0.004,1
9,0,3.21565,-0.194054,-5,-0.1,0.25,1,0,0
9,1,-3.21445,0.186635,5,0.1,0.25,0,0.004,1
10,0,3.01664,-0.205732,-5,-0.1,0.25,1,0,0
10,1,-3.01536,0.197902,5,0.1,0.25,0,0.004,1
11,0,2.8187,-0.229559,-5,-0.1,0.25,1,0,0
11,1,-2.81757,0.223283,5,0.1,0.25,0,0.004,1
12,0,2.62056,-0.250671,-5,-0.1,0.25,1,0,0
12,1,-2.61955,0.24581,5,0.1,0.25,0,0.004,1
13,0,2.42223,-0.269277,-5,-0.1,0.25,1,0,0
13,1,-2.42134,0.265702,5,0.1,0.25,0,0.004,1
14,0,2.22374,-0.285566,-5,-0.1,0.25,1,0,0
14,1,-2.22296,0.283158,5,0.1,0.25,0,0.004,1
15,0,2.02511,-0.299713,-5,-0.1,0.25,1,0,0
15,1,-2.02442,0.298362,5,0.1,0.25,0,0.004,1
16,0,1.82635,-0.311877,-5,-0.1,0.25,1,0,0
16,1,-1.82574,0.31148,5,0.1,0.25,0,0.004,1
17,0,1.62748,-0.322204,-5,-0.1,0.25,1,0,0
17,1,-1.62694,0.322668,5,0.1,0.25,0,0.004,1
18,0,1.4285,-0.330828,-5,-0.1,0.25,1,0,0
18,1,-1.42803,0.332065,5,0.1,0.25,0,0.004,1
19,0,1.22943,-0.337872,-5,-0.1,0.25,1,0,0
19,1,-1.22903,0.339801,5,0.1,0.25,0,0.004,1
20,0,1.03029,-0.343448,-5,-0.1,0.25,1,0,0
20,1,-1.02994,0.345994,5,0.1,0.25,0,0.004,1
21,0,0.831256,-0.352905,-5,-0.1,0.25,1,0,0
21,1,-0.830934,0.355316,5,0.1,0.25,0,0.004,1
22,0,0.632144,-0.360551,-5,-0.1,0.25,1,0,0
22,1,-0.631851,0.362831,5,0.1,0.25,0,0.004,1
23,0,0.432965,-0.366507,-5,-0.1,0.25,1,0,0
23,1,-0.432698,0.368662,5,0.1,0.25,0,0.004,1
24,0,0.233728,-0.370888,-5,-0.1,0.25,1,0,0
24,1,-0.233485,0.372923,5,0.1,0.25,0,0.004,1
25,0,0.0344411,-0.373797,-5,-0.1,0.25,1,0,0
25,1,-0.0342198,0.375716,5,0.1,0.25,0,0.004,1
26,0,-0.164887,-0.375329,-5,-0.1,0.25,1,0,0
26,1,0.165089,0.377135,5,0.1,0.25,0,0.004,1
27,0,-0.364251,-0.375571,-5,-0.1,0.25,1,0,0
27,1,0.364434,0.377269,5,0.1,0.25,0,0.004,1
28,0,-0.563643,-0.374602,-5,-0.1,0.25,1,0,0
28,1,0.563808,0.376194,5,0.1,0.25,0,0.004,1
29,0,-0.763057,-0.372494,-5,-0.1,0.25,1,0,0
29,1,0.763207,0.373985,5,0.1,0.25,0,0.004,1
30,0,-0.962489,-0.369313,-5,-0.1,0.25,1,0,0
30,1,0.962624,0.370706,5,0.1,0.25,0,0.004,1
31,0,-1.16193,-0.36512,-5,-0.1,0.25,1,0,0
31,1,1.16205,0.366416,5,0.1,0.25,0,0.004,1
32,0,-1.36139,-0.359967,-5,-0.1,0.25,1,0,0
32,1,1.36149,0.361171,5,0.1,0.25,0,0.004,1
33,0,-1.56084,-0.353904,-5,-0.1,0.25,1,0,0
33,1,1.56094,0.355018,5,0.1,0.25,0,0.004,1
34,0,-1.7603,-0.346975,-5,-0.1,0.25,1,0,0
34,1,1.76038,0.348002,5,0.1,0.25,0,0.004,1
35,0,-1.95975,-0.339219,-5,-0.1,0.25,1,0,0
35,1,1.95983,0.34016,5,0.1,0.25,0,0.004,1
36,0,-2.1592,-0.33067,-5,-0.1,0.25,1,0,0
36,1,2.15926,0.331528,5,0.1,0.25,0,0.004,1
37,0,-2.35863,-0.321356,-5,-0.1,0.25,1,0,0
37,1,2.35869,0.322134,5,0.1,0.25,0,0.004,1
38,0,-2.55805,-0.311304,-5,-0.1,0.25,1,0,0
38,1,2.5581,0.312004,5,0.1,0.25,0,0.004,1
39,0,-2.75746,-0.300533,-5,-0.1,0.25,1,0,0
39,1,2.7575,0.301156,5,0.1,0.25,0,0.004,1
40,0,-2.95685,-0.289058,-5,-0.1,0.25,1,0,0
40,1,2.95687,0.289607,5,0.1,0.25,0,0.004,1
41,0,-3.15621,-0.276887,-5,-0.1,0.25,1,0,0
41,1,3.15623,0.277364,5,0.1,0.25,0,0.004,1
42,0,-3.35554,-0.264024,-5,-0.1,0.25,1,0,0
42,1,3.35556,0.264431,5,0.1,0.25,0,0.004,1
43,0,-3.55484,-0.250462,-5,-0.1,0.25,1,0,0
43,1,3.55485,0.250801,5,0.1,0.25,0,0.004,1
44,0,-3.75411,-0.236185,-5,-0.1,0.25,1,0,0
44,1,3.75411,0.236458,5,0.1,0.25,0,0.004,1
45,0,-3.95333,-0.221162,-5,-0.1,0.25,1,0,0
45,1,3.95332,0.221372,5,0.1,0.25,0,0.004,1
46,0,-4.15249,-0.205342,-5,-0.1,0.25,1,0,0
46,1,4.15248,0.205491,5,0.1,0.25,0,0.004,1
47,0,-4.35159,-0.188637,-5,-0.1,0.25,1,0,0
47,1,4.35157,0.188728,5,0.1,0.25,0,0.004,1
48,0,-4.55059,-0.170894,-5,-0.1,0.25,1,0,0
48,1,4.55056,0.17093,5,0.1,0.25,0,0.004,1
49,0,-4.74945,-0.151809,-5,-0.1,0.25,1,0,0
49,1,4.74941,0.151793,5,0.1,0.25,0,0.004,1
50,0,-4.948,-0.130582,-5,-0.1,0.25,1,0,0
50,1,4.94797,0.130522,5,0.1,0.25,0,0.004,1
